,0,1,2,V OC (V),J SC (mA/cm2),FF (%),PCE (%)
181_7_5,PBDTT–DTBT:PC70BM 1:1.5,,,0.79,4.23,49.7,1.66
182_8_0,PBDT–TBT,,,0.95,9.60,48.2,4.4
182_8_1,PBDT–TBT,,,0.96,9.10,51.8,4.9
182_8_2,PBDT–TTBT,,,0.77,11.82,60.5,5.5
182_8_3,PBDT–TTBT,,,0.80,11.83,66.6,6.3
182_8_4,"a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.",,,"a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.","a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.","a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.","a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light."
183_3_0,1:2,,,0.86,6.61,58.8,3.34
183_3_1,1:2,,,0.82,7.18,56.1,3.31
183_3_2,1:2,,,0.89,6.61,59.1,3.48
183_3_3,1:2,,,0.92,7.96,65.8,4.88
183_3_4,1:2,,,0.9,7.63,57.8,3.97
184_2_0,PDPP2TBP,,,0.80,11.5,0.63,5.7
184_2_1,F1-PDPP2TBP,,,0.89,6.7,0.62,3.7
184_2_2,F2-PDPP2TBP,,,0.93,7.7,0.56,4.1
184_2_3,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,,,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.
185_5_0,reg-PDPP/TPDalt2T,,,0.78 (0.78),9.95 (9.60),0.68 (0.68),5.3 (5.1)
185_5_1,ran-PDPP/TPDalt2T,,,0.74 (0.73),2.31 (2.13),0.61 (0.59),1.0 (0.9)
185_5_2,PDPP2T,,,0.68 (0.67),2.03 (1.93),0.50 (0.52),0.7 (0.7)
185_5_3,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,,,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.
186_7_0,TT1:PC61BM,,,0.56,2.83,0.38,0.60 (0.48)
186_7_1,TT2:PC61BM,,,0.58,8.54,0.69,3.40 (3.22)
186_7_2,BT1:PC61BM,,,0.73,6.72,0.67,3.29 (3.21)
186_7_3,BT2:PC61BM,,,0.62,9.01,0.66,3.74 (3.47)
186_7_4,BT2:PC71BM,,,0.62,10.07,0.67,4.18 (3.92)
186_7_5,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,,,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.
